DisplayName,NewApp
7-Zip 15.05 beta x64,7-Zip 18.05
7-Zip 15.06 beta (x64),7-Zip 18.05
7-Zip 15.07 beta (x64),7-Zip 18.05
7-Zip 15.08 beta (x64),7-Zip 18.05
7-Zip 15.11 beta,7-Zip 18.05
7-Zip 15.12 (x64),7-Zip 18.05
7-Zip 15.14,7-Zip 18.05
7-Zip 15.14 (x64 edition),7-Zip 18.05
7-Zip 15.14 (x64),7-Zip 18.05
7-Zip 16.00 (x64),7-Zip 18.05
7-Zip 16.01 (x64),7-Zip 18.05
7-Zip 16.02 (x64),7-Zip 18.05
7-Zip 16.03 (x64),7-Zip 18.05
7-Zip 16.04,7-Zip 18.05
7-Zip 16.04 (x64 edition),7-Zip 18.05
7-Zip 16.04 (x64),7-Zip 18.05
7-Zip 17.00 beta (x64),7-Zip 18.05
7-Zip 17.01 beta (x64),7-Zip 18.05
7-Zip 18.01 (x64),7-Zip 18.05
7-Zip 18.05 (x64 edition),7-Zip 18.05
7-Zip 18.05 (x64),7-Zip 18.05
7-Zip 18.06 (x64 edition),7-Zip 18.05
7-Zip 18.06 (x64),7-Zip 18.05
7-Zip 4.65 (x64 edition),7-Zip 18.05
7-Zip 9.20,7-Zip 18.05
7-Zip 9.20 (x64 edition),7-Zip 18.05
7-Zip 9.21,7-Zip 18.05
7-Zip 9.22beta,7-Zip 18.05
7-Zip 9.34 alpha,7-Zip 18.05
7-Zip 9.38 (x64 edition),7-Zip 18.05
7-Zip 9.38 beta,7-Zip 18.05
Acrobat Pro,Adobe Acrobat Pro
Adjust,Adjust
Adobe Acrobat 5.0,Adobe Acrobat Pro
Adobe Acrobat 9 Pro,Adobe Acrobat Pro
Adobe Acrobat 9.3.4 - CPSID_83708,Adobe Acrobat Pro
Adobe Acrobat 9.5.5 - CPSID_83708,Adobe Acrobat Pro
Adobe Acrobat Reader DC,Adobe Acrobat Reader DC
Adobe Acrobat Reader DC (2015) MUI,Adobe Acrobat Reader DC
Adobe Acrobat Reader DC MUI,Adobe Acrobat Reader DC
Adobe Acrobat XI Pro,Adobe Acrobat Pro
Adobe AIR,Adobe AIR
Adobe Camera Raw 4.0,Adobe Camera Raw
Adobe Digital Editions,Adobe Digital Editions 4.5.8
Adobe Digital Editions 2.0,Adobe Digital Editions 4.5.8
Adobe Digital Editions 3.0,Adobe Digital Editions 4.5.8
Adobe Digital Editions 4.0,Adobe Digital Editions 4.5.8
Adobe Digital Editions 4.5,Adobe Digital Editions 4.5.8
Adobe Digital Editions 4.5.8,Adobe Digital Editions 4.5.8
Adobe Dreamweaver CS4,Adobe Dreamweaver
Adobe Dreamweaver CS5,Adobe Dreamweaver
Adobe Dreamweaver CS5.5,Adobe Dreamweaver
Adobe Dreamweaver CS6,Adobe Dreamweaver
Adobe Fireworks CS4,Adobe Fireworks
Adobe Fireworks CS5,Adobe Fireworks
